year,coast_region,water_class,mean_WUE_T_pct_change,mean_abs_WUE_T_pct_change,pct_pixels_increase,pct_pixels_decrease,pct_Stable,pct_Mild,pct_Moderate,pct_Large,pct_Strong
2014,Pacific Coast,Freshwater,-2.6838,2.6838,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2014,Pacific Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2014,Gulf Coast,Upland,22.4691,32.4604,72.66,27.34,0.58,1.02,1.61,2.78,94.01
2014,Gulf Coast,Freshwater,-2.683,2.683,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2014,Gulf Coast,Saline,-2.8169,2.8169,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2014,Atlantic Coast,Upland,-0.289,1.3794,42.63,57.37,21.02,19.87,44.32,14.79,0.0
2014,Atlantic Coast,Freshwater,-2.6843,2.6843,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2014,Atlantic Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2015,AK Coast,Upland,0.7797,3.299,50.33,49.67,7.4,7.41,24.24,44.18,16.78
2015,AK Coast,Freshwater,-2.6842,2.6842,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2015,AK Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2015,Pacific Coast,Upland,1.1217,1.4592,74.85,25.15,22.73,20.23,34.63,22.41,0.0
2015,Pacific Coast,Freshwater,-2.6834,2.6834,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2015,Pacific Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2015,Gulf Coast,Upland,9.2236,20.4847,64.77,35.23,0.73,1.17,2.48,5.12,90.5
2015,Gulf Coast,Freshwater,-2.6839,2.6839,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2015,Gulf Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2015,Atlantic Coast,Upland,-0.121,1.5215,47.67,52.33,18.19,17.35,44.53,19.93,0.0
2015,Atlantic Coast,Freshwater,-2.6842,2.6842,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2015,Atlantic Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2016,AK Coast,Upland,0.6239,3.831,42.82,57.18,5.08,4.96,18.29,52.64,19.03
2016,AK Coast,Freshwater,-2.6839,2.6839,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2016,AK Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2016,Pacific Coast,Upland,-0.1947,1.0356,35.16,64.84,19.82,23.41,52.56,4.21,0.0
2016,Pacific Coast,Freshwater,-2.6843,2.6843,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2016,Pacific Coast,Saline,-2.8165,2.8165,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2016,Gulf Coast,Upland,7.6395,26.179,49.71,50.29,1.02,1.02,1.61,3.65,92.69
2016,Gulf Coast,Freshwater,-2.6838,2.6838,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2016,Gulf Coast,Saline,-2.8169,2.8169,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2016,Atlantic Coast,Upland,-0.4043,1.6087,40.92,59.08,17.29,17.42,41.15,24.13,0.0
2016,Atlantic Coast,Freshwater,-2.6842,2.6842,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2016,Atlantic Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2017,AK Coast,Upland,1.3446,4.1188,48.3,51.7,5.07,5.31,21.66,44.39,23.57
2017,AK Coast,Freshwater,-2.684,2.684,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2017,AK Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2017,Pacific Coast,Upland,0.0842,1.168,42.85,57.15,19.9,18.05,53.83,8.22,0.0
2017,Pacific Coast,Freshwater,-2.6841,2.6841,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2017,Pacific Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2017,Gulf Coast,Upland,10.8837,25.3499,55.99,44.01,0.88,1.02,3.07,6.58,88.45
2017,Gulf Coast,Freshwater,-2.6838,2.6838,0.0,100.0,0.0,0.0,0.0,100.0,0.0
