"site_name","water_class","SPEI_timescale","n_months","slope","r_squared","correlation"
"US-GCE","Saline","SPEI_3",25,0.08138994381682,0.033544847449599,0.183152525097524
"US-HB1","Saline","SPEI_3",47,0.135664629084552,0.0555962381254723,0.235788545365275
"US-HB2","Upland","SPEI_3",47,-0.0735120601019725,0.0072723077771319,-0.0852778269958369
"US-HB3","Upland","SPEI_3",40,-0.0823411169784296,0.0167804758006796,-0.129539475839142
"US-KPL","Freshwater","SPEI_3",10,0.530931960867974,0.225571753938995,0.47494394820757
"US-KS1","Upland","SPEI_3",8,0.110658575858864,0.00340468739430596,0.0583496991792242
"US-KS2","Upland","SPEI_3",46,0.176862832381215,0.0189095194587628,0.137511888427011
"US-KS3","Saline","SPEI_3",6,-0.38236163115282,0.592705407563146,-0.769873630905194
"US-KS4","Saline","SPEI_3",31,-1.52181415652084,0.261060764223251,-0.510941057484375
"US-LA2","Freshwater","SPEI_3",37,0.00603043710662751,3.48131970043621e-05,0.00590027092635264
"US-LA3","Saline","SPEI_3",25,0.0015981406202434,1.03968204060261e-05,0.00322441008651602
"US-MCP","Freshwater","SPEI_3",18,0.00321506003821632,2.42015048735318e-06,0.00155568328632564
"US-MRf","Upland","SPEI_3",41,0.415098392845256,0.0192183200504369,0.138630155631583
"US-Myb","Freshwater","SPEI_3",82,-0.022590580934229,0.00385940714236792,-0.0621241268942101
"US-NC4","Freshwater","SPEI_3",78,-0.0014899267588742,3.22465936984128e-06,-0.00179573365782383
"US-NGC","Upland","SPEI_3",19,0.410221600266302,0.10751618215117,0.327896602835665
"US-ONA","Upland","SPEI_3",43,-0.27553209879655,0.0423446761670226,-0.205778220827722
"US-PAS","Upland","SPEI_3",11,0.102194572632082,0.0134644256376343,0.11603631172023
"US-PHM","Saline","SPEI_3",32,0.205782406978785,0.303392637472392,0.550810890844029
"US-RRC","Freshwater","SPEI_3",20,0.081589623205938,0.0116795171003692,0.108071814551108
"US-SCg","Upland","SPEI_3",32,-1.88083328840493,0.122097765482508,-0.349424906786148
"US-SCs","Upland","SPEI_3",17,-4.71758504826291,0.438565091127336,-0.662242471552026
"US-SO2","Upland","SPEI_3",27,-2.00709413364154,0.18490306210568,-0.430003560573258
"US-SO3","Upland","SPEI_3",26,-0.170325974558784,0.00377590135612322,-0.0614483633315259
"US-SO4","Upland","SPEI_3",8,-7.66587763614048,0.424933023684841,-0.65186887000749
"US-Skr","Saline","SPEI_3",95,-0.0681231601772907,0.0122682037331741,-0.110761923661401
"US-Slt","Upland","SPEI_3",81,-0.458169792352586,0.066923212967077,-0.258695212493538
"US-Snd","Upland","SPEI_3",55,0.199128815525526,0.0772326510543734,0.277907630435678
