"site_name","Year","month","water_class","difference_type","Trans_ratio","Trans_ratio_z","SPEI_1","WUE_difference","simple_gam_fitted","simple_gam_residual"
"US-CGG",2024,5,"Upland","WUE_ET_minus_WUE_T",0.502317802758648,-0.297420853052395,0.380173165056691,-2.04777421611741,-2.63228169846148,0.584507482344067
"US-CGG",2025,3,"Upland","WUE_ET_minus_WUE_T",0.713867608499326,0.921238812281758,0.208302721856359,-0.94388193049614,-0.990796613139216,0.0469146826430764
"US-Cms",1999,7,"Upland","WUE_ET_minus_WUE_T",0.724958925901673,0.98513176224848,-0.239693432655201,-0.72311601776611,-0.730081727354374,0.00696570958826404
"US-Cms",1999,8,"Upland","WUE_ET_minus_WUE_T",0.544979806826913,-0.0516609317975057,0.374147154836023,-2.4600874751263,-2.07200846342082,-0.388079011705485
"US-Cms",2000,8,"Upland","WUE_ET_minus_WUE_T",0.533395569260495,-0.118393411302345,0.404716342284351,-2.27240900233408,-2.17829682804482,-0.0941121742892563
"US-Cms",2001,6,"Upland","WUE_ET_minus_WUE_T",0.631237625162998,0.445238243589891,-0.533936204446425,-0.209103429995443,-1.24735507317457,1.03825164317913
"US-Cms",2001,7,"Upland","WUE_ET_minus_WUE_T",0.68677198064929,0.765150988650185,-0.237776308118008,-0.563146904007205,-0.916872518478136,0.353725614470931
"US-Cms",2001,8,"Upland","WUE_ET_minus_WUE_T",0.683939813185782,0.748835926383103,0.741478936695866,-0.903523297107073,-0.965452920712082,0.0619296236050091
"US-Cms",2002,6,"Upland","WUE_ET_minus_WUE_T",0.645744668639857,0.528807919707528,0.986834620089923,-0.162905683036189,-1.14167978728396,0.978774104247773
"US-Cms",2003,7,"Upland","WUE_ET_minus_WUE_T",0.615727894851515,0.355892461944577,0.68288427411896,-2.13862933700415,-1.39650182273071,-0.742127514273441
"US-Cms",2003,8,"Upland","WUE_ET_minus_WUE_T",0.624083671386951,0.4040269794906,0.672647997101647,-1.8367309469403,-1.36226399191121,-0.474466955029088
"US-Cms",2004,6,"Upland","WUE_ET_minus_WUE_T",0.645567495764351,0.527787292737841,-0.0586613160670657,-0.685778251542425,-1.14291414770873,0.457135896166302
"US-Cms",2004,8,"Upland","WUE_ET_minus_WUE_T",0.531347638277852,-0.130190779194964,-0.358660946808893,-1.36663652237483,-2.19681305256312,0.830176530188293
"US-Cms",2005,7,"Upland","WUE_ET_minus_WUE_T",0.76303070916055,1.20444913048001,-0.808667178863509,-0.533694472632748,-0.564080150069259,0.030385677436511
"US-Cms",2005,8,"Upland","WUE_ET_minus_WUE_T",0.727701085655767,1.00092832361386,0.462473996673154,-1.0495866552003,-0.750963028221993,-0.298623626978304
"US-Dix",2005,5,"Upland","WUE_ET_minus_WUE_T",0.731997633748548,1.02567913745889,-0.615868148656485,-0.798109295568902,-0.93167039601157,0.133561100442668
"US-Dix",2005,6,"Upland","WUE_ET_minus_WUE_T",0.723712852713046,0.977953598554511,-0.134825146387107,-1.00845199087267,-0.927665240691432,-0.0807867501812383
"US-Dix",2005,7,"Upland","WUE_ET_minus_WUE_T",0.789629863037022,1.35767695240015,-0.607707786088264,-0.590347220293291,-0.669473327509739,0.0791261072164482
"US-Dix",2006,5,"Upland","WUE_ET_minus_WUE_T",0.575884533466549,0.126369691733622,-0.880321285793,-2.0393139662935,-1.98280889586824,-0.0565050704252563
"US-Dix",2006,6,"Upland","WUE_ET_minus_WUE_T",0.562749733542488,0.0507049998014127,0.8313048672139,-2.05962287056659,-2.06449649712774,0.00487362656115931
"US-Dix",2006,7,"Upland","WUE_ET_minus_WUE_T",0.641464035211247,0.504148784317332,-0.0239641013677031,-1.58680301668853,-1.41613398529654,-0.170669031391988
"US-Dix",2007,7,"Upland","WUE_ET_minus_WUE_T",0.573462218077997,0.112415634671687,0.198309411349725,-1.64551535887346,-1.99028811706146,0.344772758187998
"US-Dix",2007,8,"Upland","WUE_ET_minus_WUE_T",0.692642842891556,0.798970840151981,0.0706381449223179,-1.33821124518711,-1.13723436625729,-0.200976878929826
"US-Dmg",2022,4,"Freshwater","WUE_ET_minus_WUE_T",0.553414016775882,-0.00307458855894211,0.21950715967657,-0.888994522584497,-1.31374372112972,0.424749198545225
"US-Dmg",2022,6,"Freshwater","WUE_ET_minus_WUE_T",0.623161151432975,0.3987126855141,-0.793528127154536,-1.00081939566481,-0.925807475617404,-0.0750119200474038
"US-Dmg",2022,8,"Freshwater","WUE_ET_minus_WUE_T",0.630628459406826,0.441729066476961,-0.495748891486527,-0.90207577946438,-0.948010096978749,0.0459343175143692
"US-Dmg",2022,9,"Freshwater","WUE_ET_minus_WUE_T",0.524992152832371,-0.166802364532557,-0.282926593624064,-1.23433249480409,-1.45766620216812,0.223333707364027
"US-Dmg",2022,10,"Freshwater","WUE_ET_minus_WUE_T",0.511883715497916,-0.242315191401533,-0.316311140246945,-1.57413985263987,-1.52737090553457,-0.0467689471052934
"US-Dmg",2023,8,"Freshwater","WUE_ET_minus_WUE_T",0.641703824221476,0.505530119525528,-0.365183668005962,-1.02840699903457,-0.892944862405442,-0.135462136629124
"US-Dmg",2024,4,"Freshwater","WUE_ET_minus_WUE_T",0.58659721815811,0.188081479628392,0.409998784181741,-0.736924472172066,-1.14566316745576,0.408738695283694
"US-Dmg",2024,5,"Freshwater","WUE_ET_minus_WUE_T",0.643887249156832,0.518108017631782,0.460864850300177,-0.824799095682731,-0.863943616930362,0.0391445212476311
"US-Dmg",2024,6,"Freshwater","WUE_ET_minus_WUE_T",0.627336796410169,0.422767021525637,-0.442553510335918,-0.931899787694441,-0.904988846243715,-0.0269109414507265
"US-Dmg",2024,8,"Freshwater","WUE_ET_minus_WUE_T",0.583584048763496,0.170723732627964,0.141908774458449,-1.13646379174179,-1.18371122224121,0.047247430499417
"US-Dmg",2024,9,"Freshwater","WUE_ET_minus_WUE_T",0.509784689878995,-0.254406896469879,0.0935548864636732,-1.48169774597138,-1.53617673376034,0.0544789877889591
"US-Dmg",2025,4,"Freshwater","WUE_ET_minus_WUE_T",0.574663671393414,0.119336759889244,-0.370134727746047,-0.847034998224891,-1.20590391069058,0.358868912465693
"US-Dmg",2025,5,"Freshwater","WUE_ET_minus_WUE_T",0.6333637471573,0.457486040788117,-0.514940813009019,-0.768980473161129,-0.916232557294503,0.147252084133374
"US-Dmg",2025,6,"Freshwater","WUE_ET_minus_WUE_T",0.657533817666579,0.596720817841266,0.55071964765448,-0.8636248999445,-0.755088988793429,-0.108535911151071
"US-Dmg",2025,8,"Freshwater","WUE_ET_minus_WUE_T",0.627395615116888,0.423105854195298,-0.202616057635113,-0.847446607859635,-0.96411260589758,0.116665998037945
"US-EDN",2018,4,"Saline","WUE_ET_minus_WUE_T",0.365589157562322,-1.08506367036985,0.780146601401199,-0.804131662606451,-1.84537674833233,1.04124508572587
