"site_name","water_class","coast_region","SPEI_timescale","n_months","SPEI_slope","SPEI_cor","mean_WUE_T"
"US-PAS","Upland","Atlantic Coast","SPEI_12",11,0.93617025974351,0.409452873644988,5.50359728098095
"US-PAS","Upland","Atlantic Coast","SPEI_24",11,1.52915068035205,0.508220642838139,5.50359728098095
"US-PAS","Upland","Atlantic Coast","SPEI_36",11,1.36477634906715,0.662966397538348,5.50359728098095
"US-PAS","Upland","Atlantic Coast","SPEI_48",11,0.97232620314828,0.65219292554223,5.50359728098095
"US-PHM","Saline","Atlantic Coast","SPEI_1",33,0.138745214853074,0.376110436672569,2.55090156268937
"US-PHM","Saline","Atlantic Coast","SPEI_3",33,0.188413805130832,0.509422873779352,2.55090156268937
"US-PHM","Saline","Atlantic Coast","SPEI_6",33,0.181870251592265,0.480878645291157,2.55090156268937
"US-PHM","Saline","Atlantic Coast","SPEI_12",33,0.134662594885387,0.400903279989724,2.55090156268937
"US-PHM","Saline","Atlantic Coast","SPEI_24",33,0.0407905471106384,0.113522295768317,2.55090156268937
"US-PHM","Saline","Atlantic Coast","SPEI_36",33,0.126992276304828,0.336889430752702,2.55090156268937
"US-PHM","Saline","Atlantic Coast","SPEI_48",33,0.11129788584197,0.285880755803412,2.55090156268937
"US-RRC","Freshwater","Atlantic Coast","SPEI_1",22,0.141130108032528,0.266246407852091,1.98019005863157
"US-RRC","Freshwater","Atlantic Coast","SPEI_3",22,0.06387297353531,0.0828533223772312,1.98019005863157
"US-RRC","Freshwater","Atlantic Coast","SPEI_6",22,0.0396043867125283,0.0539844599541095,1.98019005863157
"US-RRC","Freshwater","Atlantic Coast","SPEI_12",22,0.121440598262832,0.180370474314846,1.98019005863157
"US-RRC","Freshwater","Atlantic Coast","SPEI_24",22,0.165765254935939,0.306570071924738,1.98019005863157
"US-RRC","Freshwater","Atlantic Coast","SPEI_36",22,-0.116861315146548,-0.127570013041411,1.98019005863157
"US-RRC","Freshwater","Atlantic Coast","SPEI_48",22,0.333159811027946,0.459354392083138,1.98019005863157
"US-SCg","Upland","Gulf Coast","SPEI_1",32,-0.732162264227352,-0.148217956530501,8.61502263991034
"US-SCg","Upland","Gulf Coast","SPEI_3",32,-1.88083328840493,-0.349424906786148,8.61502263991034
"US-SCg","Upland","Gulf Coast","SPEI_6",32,-1.81829826726815,-0.366671873392508,8.61502263991034
"US-SCg","Upland","Gulf Coast","SPEI_12",32,-2.02621505104901,-0.391429920349178,8.61502263991034
"US-SCg","Upland","Gulf Coast","SPEI_24",32,-1.16649615937868,-0.274244048008798,8.61502263991034
"US-SCg","Upland","Gulf Coast","SPEI_36",32,-0.499262203123446,-0.107778265378136,8.61502263991034
"US-SCg","Upland","Gulf Coast","SPEI_48",32,0.357339949550375,0.0731905129003776,8.61502263991034
"US-SCs","Upland","Gulf Coast","SPEI_1",17,-1.57049116958814,-0.326631968699432,10.0034298028085
"US-SCs","Upland","Gulf Coast","SPEI_3",17,-4.71758504826291,-0.662242471552026,10.0034298028085
"US-SCs","Upland","Gulf Coast","SPEI_6",17,-1.23643277816663,-0.17013850897943,10.0034298028085
"US-SCs","Upland","Gulf Coast","SPEI_12",17,-1.70407292165836,-0.28113088529036,10.0034298028085
"US-SCs","Upland","Gulf Coast","SPEI_24",17,-2.23267116212134,-0.474231397356846,10.0034298028085
"US-SCs","Upland","Gulf Coast","SPEI_36",17,-2.15354147137369,-0.391148079414233,10.0034298028085
"US-SCs","Upland","Gulf Coast","SPEI_48",17,-1.40915442454309,-0.259348491853016,10.0034298028085
"US-Skr","Saline","Atlantic Coast","SPEI_1",95,-0.0518932102719656,-0.0877098562490153,2.2601033224581
"US-Skr","Saline","Atlantic Coast","SPEI_3",95,-0.0681231601772907,-0.110761923661401,2.2601033224581
"US-Skr","Saline","Atlantic Coast","SPEI_6",95,-0.126036748306941,-0.202361196550608,2.2601033224581
"US-Skr","Saline","Atlantic Coast","SPEI_12",95,-0.0338644222244848,-0.0537376413989343,2.2601033224581
